"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Elevation Loss","Avg Elevation Loss","Max Elevation Loss","Average Speed","Max Speed","Average Pace","Best Pace","Average Heart Rate","Max Heart Rate","Average Run Cadence","Max Run Cadence","Average Bike Cadence","Max Bike Cadence","Average Power","Max Power","Vertical Oscillation","Ground Contact Time","Average Stride Length"
"10/16/2017","2","12.33 mi","6.17 mi","6.69 mi","1:26:51 h:m:s","43:26 h:m:s","50:15 h:m:s","1,094 C","238 ft","119 ft","222 ft","242 ft","121 ft","225 ft","8.6 mph","16.4 mph","6:58 min/mi","3:40 min/mi","--","--","79 spm","121 spm","--","--","--","--","--","--","1.43 m"
"10/09/2017","6","35.19 mi","5.87 mi","9.87 mi","5:56:29 h:m:s","59:25 h:m:s","1:58:36 h:m:s","3,116 C","2,143 ft","536 ft","1,166 ft","3,253 ft","813 ft","1,673 ft","7.2 mph","18.3 mph","8:20 min/mi","3:17 min/mi","--","--","73 spm","121 spm","--","--","--","--","--","--","1.25 m"
"10/02/2017","9","50.47 mi","5.61 mi","12.82 mi","6:38:48 h:m:s","44:19 h:m:s","1:30:38 h:m:s","4,750 C","4,164 ft","595 ft","1,600 ft","4,675 ft","584 ft","2,123 ft","7.6 mph","110.7 mph","7:54 min/mi","0:33 min/mi","140 bpm","168 bpm","79 spm","122 spm","--","--","--","--","--","--","1.27 m"
"09/25/2017","10","65.89 mi","6.59 mi","13.51 mi","9:15:33 h:m:s","55:33 h:m:s","1:47:31 h:m:s","6,259 C","3,823 ft","546 ft","984 ft","4,462 ft","496 ft","1,231 ft","6.8 mph","16.8 mph","8:46 min/mi","3:34 min/mi","137 bpm","163 bpm","74 spm","121 spm","--","--","--","--","--","--","1.24 m"
"09/18/2017","11","53.56 mi","4.87 mi","8.04 mi","6:57:10 h:m:s","37:55 h:m:s","1:04:39 h:m:s","5,016 C","3,360 ft","336 ft","1,143 ft","3,349 ft","372 ft","1,361 ft","7.9 mph","44.1 mph","7:37 min/mi","1:22 min/mi","--","--","79 spm","116 spm","--","--","--","--","--","--","1.32 m"
"09/11/2017","9","29.53 mi","3.28 mi","7.08 mi","3:43:44 h:m:s","24:52 h:m:s","1:01:49 h:m:s","2,725 C","860 ft","143 ft","277 ft","785 ft","131 ft","236 ft","8.0 mph","21.1 mph","7:33 min/mi","2:50 min/mi","--","--","74 spm","122 spm","--","--","--","--","--","--","1.42 m"
"09/04/2017","2","9.95 mi","4.98 mi","7.42 mi","1:31:49 h:m:s","45:55 h:m:s","54:41 h:m:s","968 C","328 ft","164 ft","238 ft","329 ft","164 ft","237 ft","6.1 mph","11.0 mph","9:49 min/mi","5:27 min/mi","129 bpm","154 bpm","71 spm","88 spm","--","--","--","--","--","--","1.12 m"
"08/28/2017","11","55.98 mi","5.09 mi","10.86 mi","7:16:15 h:m:s","39:40 h:m:s","1:19:50 h:m:s","5,234 C","5,875 ft","734 ft","2,302 ft","5,903 ft","738 ft","2,084 ft","7.0 mph","121.1 mph","8:38 min/mi","0:30 min/mi","--","--","74 spm","123 spm","--","--","--","--","--","--","1.23 m"
"08/21/2017","9","38.93 mi","4.33 mi","8.37 mi","4:56:18 h:m:s","32:55 h:m:s","1:05:16 h:m:s","3,671 C","1,458 ft","182 ft","470 ft","1,558 ft","223 ft","479 ft","7.6 mph","46.8 mph","7:52 min/mi","1:17 min/mi","--","--","76 spm","123 spm","--","--","--","--","--","--","1.34 m"
"08/14/2017","4","10.58 mi","2.65 mi","7.01 mi","1:18:18 h:m:s","19:35 h:m:s","49:22 h:m:s","979 C","264 ft","88 ft","150 ft","304 ft","76 ft","156 ft","7.7 mph","14.3 mph","7:45 min/mi","4:12 min/mi","--","--","75 spm","98 spm","--","--","--","--","--","--","1.38 m"
